taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
796057,Arisaema griffithii,species,,Plantae,6,117,https://en.wikipedia.org/wiki/Arisaema_griffithii,https://inaturalist-open-data.s3.amazonaws.com/photos/19714039/medium.jpg,cc-by-nc,"(c) mekushka, some rights reserved (CC BY-NC), uploaded by mekushka"
31568,Laudakia tuberculata,species,Kashmir Rock Agama,Reptilia,6,778,http://en.wikipedia.org/wiki/Laudakia_tuberculata,https://inaturalist-open-data.s3.amazonaws.com/photos/38732303/medium.jpg,cc-by-nc-nd,"(c) Ryan Van Meter, some rights reserved (CC BY-NC-ND), uploaded by Ryan Van Meter"
626741,Pleione hookeriana,species,,Plantae,5,73,,https://inaturalist-open-data.s3.amazonaws.com/photos/245929313/medium.jpeg,cc-by-nc,"(c) Dr Namgyal T Sherpa, some rights reserved (CC BY-NC), uploaded by Dr Namgyal T Sherpa"
75602,Asclepias curassavica,species,tropical milkweed,Plantae,4,40349,http://en.wikipedia.org/wiki/Asclepias_curassavica,https://inaturalist-open-data.s3.amazonaws.com/photos/133647238/medium.jpeg,cc-by,"(c) Ricard Busquets Reverte, some rights reserved (CC BY), uploaded by Ricard Busquets Reverte"
51702,Coccinella septempunctata,species,Seven-spotted Lady Beetle,Insecta,4,291868,http://en.wikipedia.org/wiki/Coccinella_septempunctata,https://inaturalist-open-data.s3.amazonaws.com/photos/267168450/medium.jpg,cc-by-nc,"(c) Thomas Shahan, some rights reserved (CC BY-NC), uploaded by Thomas Shahan"
410881,Pieris formosa,species,Mountain Pieris,Plantae,4,319,https://en.wikipedia.org/wiki/Pieris_formosa,https://inaturalist-open-data.s3.amazonaws.com/photos/487481950/medium.jpeg,cc-by-nc,"(c) J Floer, some rights reserved (CC BY-NC), uploaded by J Floer"
133644,Alangium chinense,species,Chinese Alangium,Plantae,3,1328,http://en.wikipedia.org/wiki/Alangium_chinense,https://static.inaturalist.org/photos/223468192/medium.jpeg,,"(c) naturalistchu, all rights reserved, uploaded by naturalistchu"
117504,Arundina graminifolia,species,Bamboo Orchid,Plantae,3,10370,http://en.wikipedia.org/wiki/Arundina,https://static.inaturalist.org/photos/497373445/medium.jpg,,"(c) Jono Dashper, all rights reserved, uploaded by Jono Dashper"
884403,Berberis napaulensis,species,Nepal Mahonia,Plantae,3,357,https://en.wikipedia.org/wiki/Mahonia_napaulensis,https://static.inaturalist.org/photos/29909910/medium.jpeg,,"(c) Alex Perry, all rights reserved, uploaded by Alex Perry"
711946,Callicarpa macrophylla,species,,Plantae,3,51,http://en.wikipedia.org/wiki/Callicarpa_macrophylla,https://inaturalist-open-data.s3.amazonaws.com/photos/522373574/medium.jpg,cc-by,"(c) Sagnik Dutta Roy, some rights reserved (CC BY), uploaded by Sagnik Dutta Roy"
493634,Coelogyne cristata,species,,Plantae,3,253,http://en.wikipedia.org/wiki/Coelogyne_cristata,https://inaturalist-open-data.s3.amazonaws.com/photos/6211280/medium.jpg,cc-by-nc,"(c) Steven Kurniawidjaja, some rights reserved (CC BY-NC), uploaded by Steven Kurniawidjaja"
504426,Heliophorus moorei,species,Azure Sapphire,Insecta,3,1184,,https://inaturalist-open-data.s3.amazonaws.com/photos/4616664/medium.jpeg,cc-by-nc-nd,"(c) Chief RedEarth, some rights reserved (CC BY-NC-ND), uploaded by Chief RedEarth"
764909,Hellenia speciosa,species,Crêpe ginger,Plantae,3,10704,https://en.wikipedia.org/wiki/Cheilocostus_speciosus,https://inaturalist-open-data.s3.amazonaws.com/photos/215394630/medium.jpeg,cc-by-nc,"(c) vivianjen, some rights reserved (CC BY-NC)"
855565,Morella esculenta,species,,Plantae,3,169,,https://static.inaturalist.org/photos/118232609/medium.jpg,,"(c) Muddam Vijay Dixit Reddy, all rights reserved, uploaded by Muddam Vijay Dixit Reddy"
