scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Life,higher_taxon,root,synthetic,9281,1,1,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta
Animalia,higher_taxon,kingdom,name,4877,2,3,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta
Arthropoda,higher_taxon,genus,path_depth,3830,2,6,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata
Bacteria,higher_taxon,domain,name,9,2,2,Microcystis aeruginosa,Bacteria|Bacillati|Cyanobacteriota|Cyanophyceae|Chroococcales|Microcystaceae|Microcystis|Microcystis aeruginosa
Biota,higher_taxon,higher_taxon,fallback,8,2,2,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica
Chlorophyta,higher_taxon,phylum,suffix,27,2,5,Trentepohlia aurea,Plantae|Viridiplantae|Chlorophyta|Chlorophyta|Chlorophytina|Ulvophyceae|Trentepohliales|Trentepohliaceae|Trentepohlia|Trentepohlia aurea
Chromista,higher_taxon,kingdom,name,18,2,3,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna
Cucurbitales,higher_taxon,order,suffix,44,2,7,Begonia picta,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Begoniaceae|Begonia|Begonia picta
Ericales,higher_taxon,order,suffix,209,2,7,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum
Eukaryota,higher_taxon,domain,name,8396,2,2,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta
Fungi,higher_taxon,kingdom,name,519,2,3,Aleuria aurantia,Eukaryota|Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Aleuria|Aleuria aurantia
Magnoliales,higher_taxon,order,suffix,21,2,7,Magnolia campbellii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Magnoliales|Magnoliaceae|Magnolioideae|Magnolia|Magnolia campbellii
Plantae,higher_taxon,kingdom,name,3830,2,3,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum
Polydnaviriformidae,higher_taxon,family,suffix,2,2,2,Bracoviriform congregatae,|Polydnaviriformidae|Bracoviriform|Bracoviriform congregatae
Protozoa,higher_taxon,kingdom,name,12,2,3,Ceratiomyxa fruticulosa,Eukaryota|Protozoa|Mycetozoa|Protosteliomycetes|Ceratiomyxales|Ceratiomyxaceae|Ceratiomyxa|Ceratiomyxa fruticulosa
Scenedesmaceae,higher_taxon,family,suffix,6,2,9,Tetradesmus obliquus,Plantae|Chlorophyta|Chlorophyceae|Sphaeropleales|Scenedesmaceae|Tetradesmus|Tetradesmus obliquus
Annelida,higher_taxon,genus,path_depth,6,3,4,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica
Ascomycota,higher_taxon,phylum,suffix,162,3,4,Aleuria aurantia,Eukaryota|Fungi|Ascomycota|Pezizomycetes|Pezizales|Pyronemataceae|Aleuria|Aleuria aurantia
Bacillati,higher_taxon,higher_taxon,fallback,8,3,3,Microcystis aeruginosa,Bacteria|Bacillati|Cyanobacteriota|Cyanophyceae|Chroococcales|Microcystaceae|Microcystis|Microcystis aeruginosa
Basidiomycota,higher_taxon,phylum,suffix,354,3,4,Trametes versicolor,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|Trametes versicolor
Bilateria,higher_taxon,higher_taxon,fallback,122,3,3,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata
Biliphyta,higher_taxon,phylum,suffix,1,3,3,Batrachospermum gelatinosum,Plantae|Biliphyta|Rhodophyta|Eurhodophytina|Florideophyceae|Nemaliophycidae|Batrachospermales|Batrachospermaceae|Batrachospermum|Batrachospermum gelatinosum
Bracoviriform,higher_taxon,higher_taxon,fallback,2,3,3,Bracoviriform congregatae,|Polydnaviriformidae|Bracoviriform|Bracoviriform congregatae
