Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Psocinae,"Psocinae Hagen, 1865",Psocinae,8MPQB,"Psocinae Hagen, 1865",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Psocodea|Psocomorpha|Psocetae|Psocidae|Psocinae,
BestMatch,9.41215,Exact,0,Psorophora,"Psorophora Robineau-Desvoidy, 1827",Psorophora,BYNVF,"Psorophora Robineau-Desvoidy, 1827",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Diptera|Culicidae|Culicinae|Aedini|Psorophora,
BestMatch,9.41215,Exact,0,Psyra,"Psyra Walker, 1860",Psyra,92LCF,"Psyra Walker, 1860",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Ennominae|Psyra,
BestMatch,9.41215,Exact,0,Pterocactus,Pterocactus K.Schum.,Pterocactus,74MY,Pterocactus K.Schum.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Opuntioideae|Pterocacteae|Pterocactus,
BestMatch,9.41215,Exact,0,Pterocarya,Pterocarya Kunth,Pterocarya,74N8,Pterocarya Kunth,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Juglandaceae|Juglandoideae|Juglandeae|Pterocarya,
BestMatch,9.41215,Exact,0,Pteroclidae,Pteroclidae,Pteroclidae,CP8BW,Pteroclidae,false,1,Catalogue of Life,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Pterocliformes|Pteroclidae,
BestMatch,9.41215,Exact,0,Pterocyclus,Pterocyclus Klotzsch,Pterocyclus,74PV,Pterocyclus Klotzsch,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Komarovieae|Pterocyclus,
BestMatch,9.41215,Exact,0,Pterodecta,"Pterodecta Butler, 1877",Pterodecta,92LCY,"Pterodecta Butler, 1877",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Calliduloidea|Callidulidae|Callidulinae|Pterodecta,
BestMatch,9.41215,Exact,0,Pteromalidae,"Pteromalidae Dalman, 1820",Pteromalidae,CBXJK,"Pteromalidae Dalman, 1820",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Hymenoptera|Apocrita|Terebrantes|Chalcidoidea|Pteromalidae,
BestMatch,9.41215,Exact,0,Pterophorini,"Pterophorini Bigot, Gibeaux, Nel & Picard, 1998",Pterophorini,L74,"Pterophorini Bigot, Gibeaux, Nel & Picard, 1998",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Pterophoroidea|Pterophoridae|Pterophorinae|Pterophorini,
