scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Life,higher_taxon,root,synthetic,9281,1,1,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta,BestMatch,9.41109,Exact,0,Life,Life,Life,28595,Life,false,172,PaleoBioDB,,
Animalia,higher_taxon,kingdom,name,4877,2,3,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta,BestMatch,9.41215,Exact,0,Animalia,Animalia,Animalia,N,Animalia,false,1,Catalogue of Life,Eukaryota|Animalia,
Arthropoda,higher_taxon,genus,path_depth,3830,2,6,Coccinella septempunctata,Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Coleoptera|Polyphaga|Cucujiformia|Coccinelloidea|Coccinellidae|Coccinellinae|Coccinellini|Coccinella|Coccinella septempunctata,BestMatch,9.41215,Exact,0,Arthropoda,Arthropoda,Arthropoda,RT,Arthropoda,false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda,
Bacteria,higher_taxon,domain,name,9,2,2,Microcystis aeruginosa,Bacteria|Bacillati|Cyanobacteriota|Cyanophyceae|Chroococcales|Microcystaceae|Microcystis|Microcystis aeruginosa,BestMatch,9.41215,Exact,0,Bacteria,"Bacteria Berthold, 1827",Bacteria,8NKD2,"Bacteria Berthold, 1827",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Phasmida|Euphasmatodea|Diapheromeridae|Diapheromerinae|Diapheromerini|Bacteria,
Biota,higher_taxon,higher_taxon,fallback,8,2,2,Haemadipsa zeylanica,Biota|Animalia|Annelida|Clitellata|Hirudinea|Euhirudinea|Arhynchobdellida|Hirudiniformes|Haemadipsidae|Haemadipsa|Haemadipsa zeylanica,BestMatch,9.41180,Exact,0,Biota,Biota D.Don ex Endl.,Biota,C6D9S|C82SH|C6D9S,Platycladus Spach,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Platycladus,
Chlorophyta,higher_taxon,phylum,suffix,27,2,5,Trentepohlia aurea,Plantae|Viridiplantae|Chlorophyta|Chlorophyta|Chlorophytina|Ulvophyceae|Trentepohliales|Trentepohliaceae|Trentepohlia|Trentepohlia aurea,BestMatch,9.41215,Exact,0,Chlorophyta,"Chlorophyta Reichenbach, 1828",Chlorophyta,CGV7L,"Chlorophyta Reichenbach, 1828",false,1,Catalogue of Life,Eukaryota|Plantae|Chlorophyta,
Chromista,higher_taxon,kingdom,name,18,2,3,Ulnaria ulna,Chromista|Ochrophyta|Bacillariophyceae|Fragilariophycidae|Licmophorales|Ulnariaceae|Ulnaria|Ulnaria ulna,BestMatch,9.41215,Exact,0,Chromista,Chromista,Chromista,C,Chromista,false,1,Catalogue of Life,Eukaryota|Chromista,
Cucurbitales,higher_taxon,order,suffix,44,2,7,Begonia picta,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Begoniaceae|Begonia|Begonia picta,BestMatch,9.41215,Exact,0,Cucurbitales,Cucurbitales Juss. ex Bercht. & J.Presl,Cucurbitales,32L,Cucurbitales Juss. ex Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales,
Ericales,higher_taxon,order,suffix,209,2,7,Rhododendron arboreum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Ericoideae|Rhodoreae|Rhododendron|Rhododendron arboreum,BestMatch,9.41215,Exact,0,Ericales,Ericales Bercht. & J.Presl,Ericales,625QY,Ericales Bercht. & J.Presl,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales,
Eukaryota,higher_taxon,domain,name,8396,2,2,Macaca mulatta,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Haplorrhini|Simiiformes|Cercopithecoidea|Cercopithecidae|Cercopithecinae|Papionini|Macaca|Macaca mulatta,BestMatch,9.41215,Exact,0,Eukaryota,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",Eukaryota,CS5HF,"Eukaryota (Chatton, 1925) Whittaker & Margulis, 1978",false,1,Catalogue of Life,Eukaryota,
