taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution
43460,Macaca mulatta,species,Rhesus Macaque,Mammalia,1072,10187,http://en.wikipedia.org/wiki/Rhesus_macaque,https://inaturalist-open-data.s3.amazonaws.com/photos/8739674/medium.jpg,cc-by-nc-nd,"(c) Markus  Lilje, some rights reserved (CC BY-NC-ND), uploaded by Markus  Lilje"
43345,Rhinoceros unicornis,species,Indian Rhinoceros,Mammalia,886,2161,http://en.wikipedia.org/wiki/Indian_rhinoceros,https://inaturalist-open-data.s3.amazonaws.com/photos/472819355/medium.jpg,cc-by-nc,"(c) nonext(공인인증서), some rights reserved (CC BY-NC), uploaded by nonext(공인인증서)"
51702,Coccinella septempunctata,species,Seven-spotted Lady Beetle,Insecta,730,291883,http://en.wikipedia.org/wiki/Coccinella_septempunctata,https://inaturalist-open-data.s3.amazonaws.com/photos/267168450/medium.jpg,cc-by-nc,"(c) Thomas Shahan, some rights reserved (CC BY-NC), uploaded by Thomas Shahan"
14593,Pycnonotus cafer,species,Red-vented Bulbul,Aves,588,20617,http://en.wikipedia.org/wiki/Red-vented_bulbul,https://static.inaturalist.org/photos/66856364/medium.jpg,,"(c) Carlos N. G. Bocos, all rights reserved, uploaded by Carlos N. G. Bocos"
5268,Milvus migrans,species,Black Kite,Aves,575,118858,http://en.wikipedia.org/wiki/Black_kite,https://inaturalist-open-data.s3.amazonaws.com/photos/158802479/medium.jpg,cc0,"no rights reserved, uploaded by Joshua S. Martin"
507571,Aglais caschmirensis,species,Indian Tortoiseshell,Insecta,491,2796,http://en.wikipedia.org/wiki/Aglais_kaschmirensis,https://static.inaturalist.org/photos/7458688/medium.jpg,,"(c) Ben Schweinhart, all rights reserved, uploaded by Ben Schweinhart"
8031,Corvus splendens,species,House Crow,Aves,462,20466,http://en.wikipedia.org/wiki/House_crow,https://static.inaturalist.org/photos/58979232/medium.jpeg,,"(c) HUANG QIN, all rights reserved, uploaded by HUANG QIN"
1070741,Semnopithecus schistaceus,species,Nepal Sacred Langur,Mammalia,455,1417,https://en.wikipedia.org/wiki/Nepal_gray_langur,https://inaturalist-open-data.s3.amazonaws.com/photos/238805916/medium.jpg,cc-by-nc,"(c) Wilbur Goh, some rights reserved (CC BY-NC), uploaded by Wilbur Goh"
26063,Crocodylus palustris,species,Mugger Crocodile,Reptilia,451,3906,http://en.wikipedia.org/wiki/Mugger_crocodile,https://inaturalist-open-data.s3.amazonaws.com/photos/57354214/medium.jpg,cc-by-nc-nd,"(c) Paul G. Schrijvershof, some rights reserved (CC BY-NC-ND), uploaded by Paul G. Schrijvershof"
204491,Copsychus saularis,species,Oriental Magpie-Robin,Aves,438,40221,http://en.wikipedia.org/wiki/Oriental_magpie-robin,https://static.inaturalist.org/photos/62295683/medium.jpg,,"(c) Перевозов Александр, all rights reserved, uploaded by Перевозов Александр"
