Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Kaempferia rotunda,Kaempferia rotunda L.,Kaempferia rotunda,3QY48,Kaempferia rotunda L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Zingiberales|Zingiberaceae|Kaempferia|Kaempferia rotunda,
BestMatch,9.41215,Exact,0,Kalanchoe delagoensis,Kalanchoe delagoensis Eckl. & Zeyh.,Kalanchoe delagoensis,3QYJ8,Kalanchoe delagoensis Eckl. & Zeyh.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Cotyledonoideae|Kalanchoeae|Kalanchoe|Kalanchoe delagoensis,
BestMatch,9.41215,Exact,0,Kalanchoe laetivirens,Kalanchoe laetivirens Desc.,Kalanchoe laetivirens,6NJZZ,Kalanchoe laetivirens Desc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Cotyledonoideae|Kalanchoeae|Kalanchoe|Kalanchoe laetivirens,
BestMatch,9.41215,Exact,0,Kalanchoe tomentosa,Kalanchoe tomentosa Baker,Kalanchoe tomentosa,6NJZK,Kalanchoe tomentosa Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Cotyledonoideae|Kalanchoeae|Kalanchoe|Kalanchoe tomentosa,
BestMatch,9.41215,Exact,0,Kerala punctilineata,"Kerala punctilineata Moore, 1881",Kerala punctilineata,3R5S2,"Kerala punctilineata Moore, 1881",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Noctuoidea|Nolidae|Chloephorinae|Kerala|Kerala punctilineata,
BestMatch,9.41215,Exact,0,Ketupa coromanda,"Ketupa coromanda (Latham, 1790)",Ketupa coromanda,CP2J6,"Ketupa coromanda (Latham, 1790)",false,1,Catalogue of Life,Eukaryota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Tetrapoda|Aves|Strigiformes|Strigidae|Striginae|Ketupa|Ketupa coromanda,
BestMatch,9.41215,Exact,0,Klambothrips myopori,"Klambothrips myopori Mound & Morris, 2007",Klambothrips myopori,3R8ZX,"Klambothrips myopori Mound & Morris, 2007",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Thysanoptera|Phlaeothripidae|Phlaeothripinae|Klambothrips|Klambothrips myopori,
BestMatch,9.41145,Exact,0,Klebsormidium flaccidum,Klebsormidium flaccidum (Kuetz.) Silva et al,Klebsormidium flaccidum,6475,Klebsormidium flaccidum (Kuetz.) Silva et al,false,3,ITIS,Plantae|Viridiplantae|Streptophyta|Charophyta|Charophyta|Klebsormidiophyceae|Klebsormidiales|Klebsormidiaceae|Klebsormidium|Klebsormidium flaccidum,
BestMatch,9.41215,Exact,0,Koenigia delicatula,Koenigia delicatula (Meisn.) H.Hara,Koenigia delicatula,6NMZJ,Koenigia delicatula (Meisn.) H.Hara,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Polygonoideae|Persicarieae|Koenigia|Koenigia delicatula,
BestMatch,9.41215,Exact,0,Kuehneromyces mutabilis,Kuehneromyces mutabilis (Schaeff.) Singer & A.H. Sm.,Kuehneromyces mutabilis,3RF9F,Kuehneromyces mutabilis (Schaeff.) Singer & A.H. Sm.,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Kuehneromyces|Kuehneromyces mutabilis,
BestMatch,9.41215,Exact,0,Laboulbenia pheropsophi,Laboulbenia pheropsophi Thaxt.,Laboulbenia pheropsophi,3RKH8,Laboulbenia pheropsophi Thaxt.,false,1,Catalogue of Life,Eukaryota|Fungi|Ascomycota|Laboulbeniomycetes|Laboulbeniales|Laboulbeniaceae|Laboulbenia|Laboulbenia pheropsophi,
BestMatch,9.41215,Exact,0,Laciniodes plurilinearia,"Laciniodes plurilinearia (Moore, 1868)",Laciniodes plurilinearia,935YB,"Laciniodes plurilinearia (Moore, 1868)",false,1,Catalogue of Life,Eukaryota|Animalia|Arthropoda|Hexapoda|Insecta|Lepidoptera|Geometroidea|Geometridae|Larentiinae|Laciniodes|Laciniodes plurilinearia,
