taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Argania_spinosa_L_Skeels,,Argania_spinosa_L_Skeels,Sapotaceae,,,Argania spinosa L Skeels,,,,MA-0-NEU-20170064,,,,,Argania spinosa L Skeels,,,,,,,,,
Euphorbia_dendroides_L,,Euphorbia_dendroides_L,Euphorbiaceae,,,Euphorbia dendroides L,,,,XX-0-NEU-20170068,,,,,Euphorbia dendroides L,,,,,,,,,
Tetraclinis_articulata_Vahl_Mast,,Tetraclinis_articulata_Vahl_Mast,Cupressaceae,,,Tetraclinis articulata Vahl Mast,,,,MA-0-NEU-20170069,,,,,Tetraclinis articulata Vahl Mast,,,,,,,,,
Juniperus_L,,Juniperus_L,Cupressaceae,,,Juniperus L,,,,MA-0-NEU-20170070,,,,,Juniperus L,,,,,,,,,
Juniperus_oxycedrus_L_subsp_oxycedrus,,Juniperus_oxycedrus_L_subsp_oxycedrus,Cupressaceae,,,Juniperus oxycedrus L subsp oxycedrus,,,,MA-0-NEU-20170071,,,,,Juniperus oxycedrus L subsp oxycedrus,,,,,,,,,
Juniperus_phoenicea_L,,Juniperus_phoenicea_L,Cupressaceae,,,Juniperus phoenicea L,,,,MA-0-NEU-20170073,,,,,Juniperus phoenicea L,,,,,,,,,
Acorus_calamus_L,,Acorus_calamus_L,Acoraceae,,,Acorus calamus L,,,,CH-0-NEU-20200239,,,,,Acorus calamus L,,,,,,,,,
Anemone_narcissiflora_L,,Anemone_narcissiflora_L,Ranunculaceae,,,Anemone narcissiflora L,,,,CH-0-NEU-20200241,,,,,Anemone narcissiflora L,,,,,,,,,
Angelica_sylvestris_L,,Angelica_sylvestris_L,Apiaceae,,,Angelica sylvestris L,,,,CH-0-NEU-20200242,,,,,Angelica sylvestris L,,,,,,,,,
Athamanta_cretensis_L,,Athamanta_cretensis_L,Apiaceae,,,Athamanta cretensis L,,,,CH-0-NEU-20200243,,,,,Athamanta cretensis L,,,,,,,,,
Cephalaria_alpina_L_Roem_and_Schult,,Cephalaria_alpina_L_Roem_and_Schult,Caprifoliaceae,,,Cephalaria alpina L Roem and Schult,,,,CH-0-NEU-20200244,,,,,Cephalaria alpina L Roem and Schult,,,,,,,,,
Clematis_alpina_L_MilL,,Clematis_alpina_L_MilL,Ranunculaceae,,,Clematis alpina L MilL,,,,CH-0-NEU-20200245,,,,,Clematis alpina L MilL,,,,,,,,,
Erinus_alpinus_L,,Erinus_alpinus_L,Plantaginaceae,,,Erinus alpinus L,,,,CH-0-NEU-20200246,,,,,Erinus alpinus L,,,,,,,,,
Gentiana_lutea_L,,Gentiana_lutea_L,Gentianaceae,,,Gentiana lutea L,,,,CH-0-NEU-20200247,,,,,Gentiana lutea L,,,,,,,,,
Heracleum_sphondylium_L,,Heracleum_sphondylium_L,Apiaceae,,,Heracleum sphondylium L,,,,CH-0-NEU-20200248,,,,,Heracleum sphondylium L,,,,,,,,,
Inula_helenium_L,,Inula_helenium_L,Compositae,,,Inula helenium L,,,,CH-0-NEU-20200250,,,,,Inula helenium L,,,,,,,,,
Laserpitium_latifolium_L,,Laserpitium_latifolium_L,Apiaceae,,,Laserpitium latifolium L,,,,CH-0-NEU-20200251,,,,,Laserpitium latifolium L,,,,,,,,,
Mentha_aquatica_L,,Mentha_aquatica_L,Lamiaceae,,,Mentha aquatica L,,,,CH-0-NEU-20200252,,,,,Mentha aquatica L,,,,,,,,,
Paris_quadrifolia_L,,Paris_quadrifolia_L,Melanthiaceae,,,Paris quadrifolia L,,,,CH-0-NEU-20200253,,,,,Paris quadrifolia L,,,,,,,,,
Phyteuma_spicatum_L,,Phyteuma_spicatum_L,Campanulaceae,,,Phyteuma spicatum L,,,,CH-0-NEU-20200255,,,,,Phyteuma spicatum L,,,,,,,,,
Potentilla_erecta_L_Raeusch_,,Potentilla_erecta_L_Raeusch_,Rosaceae,,,Potentilla erecta L Raeusch ,,,,XX-0-NEU-20200256,,,,,Potentilla erecta L Raeusch ,,,,,,,,,
Symphytum_officinale_L,,Symphytum_officinale_L,Boraginaceae,,,Symphytum officinale L,,,,CH-0-NEU-20200257,,,,,Symphytum officinale L,,,,,,,,,
Verbena_officinalis_L,,Verbena_officinalis_L,Verbenaceae,,,Verbena officinalis L,,,,CH-0-NEU-20200258,,,,,Verbena officinalis L,,,,,,,,,
Vincetoxicum_hirundinaria_Medik_,,Vincetoxicum_hirundinaria_Medik_,Apocynaceae,,,Vincetoxicum hirundinaria Medik ,,,,CH-0-NEU-20200259,,,,,Vincetoxicum hirundinaria Medik ,,,,,,,,,
Cistus_laxus_Aiton,,Cistus_laxus_Aiton,Cistaceae,,,Cistus laxus Aiton,,,,XX-0-NEU-20200260,,,,,Cistus laxus Aiton,,,,,,,,,
Cistus_crispus_L,,Cistus_crispus_L,Cistaceae,,,Cistus crispus L,,,,ES-0-NEU-20200261,,,,,Cistus crispus L,,,,,,,,,
Lavandula_dentata_L,,Lavandula_dentata_L,Lamiaceae,,,Lavandula dentata L,,,,XX-0-NEU-20200269,,,,,Lavandula dentata L,,,,,,,,,
Arbutus_unedo_L,,Arbutus_unedo_L,Ericaceae,,,Arbutus unedo L,,,,FR-0-NEU-19940470,,,,,Arbutus unedo L,,,,,,,,,
Ceratonia_siliqua_L,,Ceratonia_siliqua_L,Fabaceae,,,Ceratonia siliqua L,,,,XX-0-NEU-19960285,,,,,Ceratonia siliqua L,,,,,,,,,
Vitex_agnus_castus_L,,Vitex_agnus_castus_L,Lamiaceae,,,Vitex agnus castus L,,,,XX-0-NEU-19980241,,,,,Vitex agnus castus L,,,,,,,,,
Olea_europaea_L,,Olea_europaea_L,Oleaceae,,,Olea europaea L,,,,XX-0-NEU-19980008,,,,,Olea europaea L,,,,,,,,,
Phillyrea_angustifolia_L,,Phillyrea_angustifolia_L,Oleaceae,,,Phillyrea angustifolia L,,,,FR-0-NEU-19940155,,,,,Phillyrea angustifolia L,,,,,,,,,
Phoenix_roebelenii_OBrien,,Phoenix_roebelenii_OBrien,Arecaceae,,,Phoenix roebelenii OBrien,,,,XX-0-NEU-19970327,,,,,Phoenix roebelenii OBrien,,,,,,,,,
Rosmarinus_officinalis_L,,Rosmarinus_officinalis_L,Lamiaceae,,,Rosmarinus officinalis L,,,,IT-0-NEU-19910770,,,,,Rosmarinus officinalis L,,,,,,,,,
Ruscus_aculeatus_L,,Ruscus_aculeatus_L,Asparagaceae,,,Ruscus aculeatus L,,,,IT-0-NEU-19970149,,,,,Ruscus aculeatus L,,,,,,,,,
Chamaerops_humilis_L,,Chamaerops_humilis_L,Arecaceae,,,Chamaerops humilis L,,,,XX-0-NEU-19970332,,,,,Chamaerops humilis L,,,,,,,,,
Citrus_sinensis_L_Osbeck,,Citrus_sinensis_L_Osbeck,Rutaceae,,,Citrus sinensis L Osbeck,,,,XX-0-NEU-19970334,,,,,Citrus sinensis L Osbeck,,,,,,,,,
Colutea_persica_Boiss,,Colutea_persica_Boiss,Fabaceae,,,Colutea persica Boiss,,,,IR-0-NEU-19890605,,,,,Colutea persica Boiss,,,,,,,,,
Ficus_carica_L,,Ficus_carica_L,Moraceae,,,Ficus carica L,,,,XX-0-NEU-19820827,,,,,Ficus carica L,,,,,,,,,
Genista_sylvestris_Scop,,Genista_sylvestris_Scop,Fabaceae,,,Genista sylvestris Scop,,,,SI-0-NEU-19740574,,,,,Genista sylvestris Scop,,,,,,,,,
Schinus_molle_L,,Schinus_molle_L,Anacardiaceae,,,Schinus molle L,,,,PE-0-NEU-19890302,,,,,Schinus molle L,,,,,,,,,
Knautia_arvensis_L_Coult,,Knautia_arvensis_L_Coult,Caprifoliaceae,,,Knautia arvensis L Coult,,,,BE-0-BR-2016120950,,,,,Knautia arvensis L Coult,,,,,,,,,
Oenanthe_lachenalii_CCGmeL,,Oenanthe_lachenalii_CCGmeL,Apiaceae,,,Oenanthe lachenalii CCGmeL,,,,XX-0-ROST-2003-F-3070,,,,,Oenanthe lachenalii CCGmeL,,,,,,,,,
Dianthus_chinensis_L,,Dianthus_chinensis_L,Caryophyllaceae,,,Dianthus chinensis L,,,,GE-0-LZ-S-592006,,,,,Dianthus chinensis L,,,,,,,,,
