Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.42226,Exact,0,Argania spinosa L Skeels,Argania spinosa Skeels,Argania spinosa,bare-name-03BED531FFB6FFD551FEFA43FDA6FCC5,,false,194,Plazi,,
BestMatch,9.42329,Exact,0,Euphorbia dendroides L,Euphorbia dendroides L.,Euphorbia dendroides,3CNK7,Euphorbia dendroides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbioideae|Euphorbieae|Euphorbiinae|Euphorbia|Euphorbia dendroides,
BestMatch,9.42226,Exact,0,Tetraclinis articulata Vahl Mast,Tetraclinis articulata Mast.,Tetraclinis articulata,bare-name-263871-1,,false,167,IPNI,,
BestMatch,9.42329,Exact,0,Juniperus L,Juniperus L.,Juniperus,C7HCB,Juniperus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Juniperus,
BestMatch,9.56262,Exact,0,Juniperus oxycedrus L subsp oxycedrus,Juniperus oxycedrus subsp. oxycedrus ,Juniperus oxycedrus subsp. oxycedrus,420125,Juniperus oxycedrus subsp. oxycedrus ,false,6,GRIN Plant Taxonomy,Cupressales|Cupressaceae|Juniperus|Juniperus oxycedrus oxycedrus,
BestMatch,9.42329,Exact,0,Juniperus phoenicea L,Juniperus phoenicea L.,Juniperus phoenicea,6NFYQ,Juniperus phoenicea L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Juniperus|Juniperus phoenicea,
BestMatch,9.42329,Exact,0,Acorus calamus L,Acorus calamus L.,Acorus calamus,64MF2,Acorus calamus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus|Acorus calamus,
BestMatch,9.42295,Exact,0,Anemone narcissiflora L,Anemone narcissiflora L.,Anemone narcissiflora,672S3|5FM6F|672S3,Anemonastrum narcissiflorum subsp. narcissiflorum,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Anemoneae|Anemonastrum|Anemonastrum narcissiflorum|Anemonastrum narcissiflorum narcissiflorum,
BestMatch,9.42329,Exact,0,Angelica sylvestris L,Angelica sylvestris L.,Angelica sylvestris,DYYQ,Angelica sylvestris L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Selineae|Angelicinae|Angelica|Angelica sylvestris,
BestMatch,9.42329,Exact,0,Athamanta cretensis L,Athamanta cretensis L.,Athamanta cretensis,67VKZ,Athamanta cretensis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Scandiceae|Scandicinae|Athamanta|Athamanta cretensis,
BestMatch,9.42226,Exact,0,Cephalaria alpina L Roem and Schult,Cephalaria alpina Roem. & Schult.,Cephalaria alpina,bare-name-202EF659B2079FE2799A563F604A08AA,,false,194,Plazi,,
BestMatch,9.42088,Exact,0,Clematis alpina L MilL,Clematis alpina L.,Clematis alpina,97941237,,false,169,uBio NameBank,|Clematis alpina,
BestMatch,9.42329,Exact,0,Erinus alpinus L,Erinus alpinus L.,Erinus alpinus,3B2GD,Erinus alpinus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Digitalideae|Erinus|Erinus alpinus,
BestMatch,9.42329,Exact,0,Gentiana lutea L,Gentiana lutea L.,Gentiana lutea,6KB7S,Gentiana lutea L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Gentianaceae|Gentianeae|Gentianinae|Gentiana|Gentiana lutea,
BestMatch,9.42329,Exact,0,Heracleum sphondylium L,Heracleum sphondylium L.,Heracleum sphondylium,3KXGQ,Heracleum sphondylium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Tordylieae|Tordyliinae|Heracleum|Heracleum sphondylium,
BestMatch,9.42329,Exact,0,Inula helenium L,Inula helenium L.,Inula helenium,3PT6J,Inula helenium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Inuleae|Inulinae|Inula|Inula helenium,
BestMatch,9.42329,Exact,0,Laserpitium latifolium L,Laserpitium latifolium L.,Laserpitium latifolium,3SC3Z,Laserpitium latifolium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Scandiceae|Daucinae|Laserpitium|Laserpitium latifolium,
BestMatch,9.42329,Exact,0,Mentha aquatica L,Mentha aquatica L.,Mentha aquatica,3ZRLS,Mentha aquatica L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Menthinae|Mentha|Mentha aquatica,
BestMatch,9.42329,Exact,0,Paris quadrifolia L,Paris quadrifolia L.,Paris quadrifolia,4DMQM,Paris quadrifolia L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Melanthiaceae|Paris|Paris quadrifolia,
BestMatch,9.42329,Exact,0,Phyteuma spicatum L,Phyteuma spicatum L.,Phyteuma spicatum,4HK35,Phyteuma spicatum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Campanuloideae|Campanuleae|Phyteuma|Phyteuma spicatum,
BestMatch,9.42226,Exact,0,Potentilla erecta L Raeusch,Potentilla erecta Raeusch.,Potentilla erecta,bare-name-253BD3F4AAA94C6BF33AD5EE5B9FC716,,false,194,Plazi,,
BestMatch,9.42329,Exact,0,Symphytum officinale L,Symphytum officinale L.,Symphytum officinale,53QG6,Symphytum officinale L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Boraginoideae|Boragineae|Boragininae|Symphytum|Symphytum officinale,
BestMatch,9.42329,Exact,0,Verbena officinalis L,Verbena officinalis L.,Verbena officinalis,5B2TY,Verbena officinalis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Verbenaceae|Verbeneae|Verbena|Verbena officinalis,
BestMatch,9.42329,Exact,0,Vincetoxicum hirundinaria Medik,Vincetoxicum hirundinaria Medik.,Vincetoxicum hirundinaria,7FRQX,Vincetoxicum hirundinaria Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Asclepiadoideae|Asclepiadeae|Tylophorinae|Vincetoxicum|Vincetoxicum hirundinaria,
