taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Argania_spinosa_L_Skeels,,Argania_spinosa_L_Skeels,Sapotaceae,,,Argania spinosa L Skeels,,,,MA-0-NEU-20170064,BestMatch,9.42226,Exact,0,Argania spinosa L Skeels,Argania spinosa Skeels,Argania spinosa,bare-name-03BED531FFB6FFD551FEFA43FDA6FCC5,,false,194,Plazi,,
Euphorbia_dendroides_L,,Euphorbia_dendroides_L,Euphorbiaceae,,,Euphorbia dendroides L,,,,XX-0-NEU-20170068,BestMatch,9.42329,Exact,0,Euphorbia dendroides L,Euphorbia dendroides L.,Euphorbia dendroides,3CNK7,Euphorbia dendroides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbioideae|Euphorbieae|Euphorbiinae|Euphorbia|Euphorbia dendroides,
Tetraclinis_articulata_Vahl_Mast,,Tetraclinis_articulata_Vahl_Mast,Cupressaceae,,,Tetraclinis articulata Vahl Mast,,,,MA-0-NEU-20170069,BestMatch,9.42226,Exact,0,Tetraclinis articulata Vahl Mast,Tetraclinis articulata Mast.,Tetraclinis articulata,bare-name-263871-1,,false,167,IPNI,,
Juniperus_L,,Juniperus_L,Cupressaceae,,,Juniperus L,,,,MA-0-NEU-20170070,BestMatch,9.42329,Exact,0,Juniperus L,Juniperus L.,Juniperus,C7HCB,Juniperus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Juniperus,
Juniperus_oxycedrus_L_subsp_oxycedrus,,Juniperus_oxycedrus_L_subsp_oxycedrus,Cupressaceae,,,Juniperus oxycedrus L subsp oxycedrus,,,,MA-0-NEU-20170071,BestMatch,9.56262,Exact,0,Juniperus oxycedrus L subsp oxycedrus,Juniperus oxycedrus subsp. oxycedrus ,Juniperus oxycedrus subsp. oxycedrus,420125,Juniperus oxycedrus subsp. oxycedrus ,false,6,GRIN Plant Taxonomy,Cupressales|Cupressaceae|Juniperus|Juniperus oxycedrus oxycedrus,
Juniperus_phoenicea_L,,Juniperus_phoenicea_L,Cupressaceae,,,Juniperus phoenicea L,,,,MA-0-NEU-20170073,BestMatch,9.42329,Exact,0,Juniperus phoenicea L,Juniperus phoenicea L.,Juniperus phoenicea,6NFYQ,Juniperus phoenicea L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Cupressales|Cupressaceae|Juniperus|Juniperus phoenicea,
Acorus_calamus_L,,Acorus_calamus_L,Acoraceae,,,Acorus calamus L,,,,CH-0-NEU-20200239,BestMatch,9.42329,Exact,0,Acorus calamus L,Acorus calamus L.,Acorus calamus,64MF2,Acorus calamus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Acorales|Acoraceae|Acorus|Acorus calamus,
Anemone_narcissiflora_L,,Anemone_narcissiflora_L,Ranunculaceae,,,Anemone narcissiflora L,,,,CH-0-NEU-20200241,BestMatch,9.42295,Exact,0,Anemone narcissiflora L,Anemone narcissiflora L.,Anemone narcissiflora,672S3|5FM6F|672S3,Anemonastrum narcissiflorum subsp. narcissiflorum,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculoideae|Anemoneae|Anemonastrum|Anemonastrum narcissiflorum|Anemonastrum narcissiflorum narcissiflorum,
Angelica_sylvestris_L,,Angelica_sylvestris_L,Apiaceae,,,Angelica sylvestris L,,,,CH-0-NEU-20200242,BestMatch,9.42329,Exact,0,Angelica sylvestris L,Angelica sylvestris L.,Angelica sylvestris,DYYQ,Angelica sylvestris L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Selineae|Angelicinae|Angelica|Angelica sylvestris,
Athamanta_cretensis_L,,Athamanta_cretensis_L,Apiaceae,,,Athamanta cretensis L,,,,CH-0-NEU-20200243,BestMatch,9.42329,Exact,0,Athamanta cretensis L,Athamanta cretensis L.,Athamanta cretensis,67VKZ,Athamanta cretensis L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Scandiceae|Scandicinae|Athamanta|Athamanta cretensis,
